accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,log_loss,brier_score,Model,BalancedMethod,overall_score,metrics_used,Rank
0.8113467,0.830962494,0.970807726,0.689316606,0.806197311,0.972608382,0.632447212,0.98055636,,0.343885224,0.117659076,random_forest,nearmiss,0.787257298,10,34
0.850736338,0.858821833,0.927410618,0.800436375,0.85925802,0.917207291,0.702189803,0.953980265,,0.519920094,0.166243809,adaboost,svm_smote,0.785011832,10,35
0.8352555,0.853365946,0.983663944,0.722590197,0.833153639,0.984141695,0.677814045,0.853365946,,5.937993643,0.1647445,decision_tree,svm_smote,0.78362378,10,36
0.812766146,0.831996338,0.969165396,0.693134887,0.808232248,0.97085779,0.634924345,0.970706247,,0.404345149,0.120774735,extra_trees,enn,0.783368778,10,37
0.851534776,0.85946052,0.927143372,0.802228629,0.860174625,0.916692411,0.703681156,0.932706187,,0.701855275,0.127721181,logistic_regression,borderline_smote,0.780820337,10,38
0.806999645,0.827156739,0.970594763,0.68160212,0.800823987,0.972711358,0.624427346,0.979859745,,0.345741425,0.117819298,random_forest,enn,0.777753605,10,39
0.808463449,0.828367331,0.970078392,0.68464116,0.802740978,0.972093502,0.627075259,0.972329052,,0.405062919,0.127200155,extra_trees,smote,0.775953903,10,40
0.807443222,0.827496256,0.97021041,0.682693057,0.801445364,0.972299454,0.62520989,0.9724823,,0.406122352,0.126257165,extra_trees,tomek,0.774205478,10,41
0.85282115,0.860390004,0.926108374,0.805735214,0.861738478,0.915044795,0.706028746,,,,,sgd,adasyn,0.774205301,7,42
0.848828957,0.857083835,0.926740922,0.797475259,0.857262523,0.916692411,0.698506146,0.930395321,,0.712282949,0.130093824,logistic_regression,adasyn,0.773709364,10,43
0.842796309,0.852286034,0.928973862,0.783760617,0.850211327,0.920811451,0.687302185,0.9556513,,0.523170982,0.167830885,adaboost,adasyn,0.772311486,10,44
0.807310149,0.82725411,0.969161048,0.683238526,0.801462523,0.971269694,0.624874631,0.970271807,,0.400129604,0.127874098,extra_trees,random_under,0.771384391,10,45
0.805535841,0.82578331,0.969754253,0.679576093,0.799138642,0.971990526,0.621664758,0.970933347,,0.393359379,0.131308569,extra_trees,smote_tomek,0.768580018,10,46
0.803229241,0.823870016,0.970525608,0.674822723,0.796102225,0.97291731,0.617497198,0.97782579,,0.395881464,0.122048182,random_forest,class_weight,0.768571676,10,47
0.802386444,0.82309216,0.970145903,0.673575937,0.795106471,0.972608382,0.615918508,0.979274949,,0.359764263,0.121116851,random_forest,random_under,0.767055272,10,48
0.800567779,0.821557345,0.970538435,0.669991428,0.792734649,0.973123262,0.612619628,0.978966057,,0.365248454,0.124778541,random_forest,tomek,0.763411289,10,49
0.811878992,0.830565748,0.963830706,0.695628458,0.808056121,0.965503038,0.632825117,0.95459435,,0.519659352,0.166920864,adaboost,tomek,0.762637469,10,50
0.83583215,0.851943456,0.968403775,0.735603522,0.836101147,0.96828339,0.67769889,0.851943456,,5.917209066,0.16416785,decision_tree,borderline_smote,0.761648644,10,51
0.804249468,0.824327735,0.966947649,0.679342321,0.798022793,0.96931315,0.619057372,0.96984992,,0.414678815,0.130130719,extra_trees,random_over,0.76145076,10,52
0.80207594,0.82268164,0.968963585,0.673887633,0.794926004,0.971475646,0.615246108,0.970697276,,0.408810881,0.130870415,extra_trees,class_weight,0.760231133,10,53
0.798305536,0.819482599,0.969621401,0.666562768,0.790025398,0.97240243,0.608398297,0.980682229,,0.351589272,0.12116292,random_forest,smote,0.758483483,10,54
0.84625621,0.854698776,0.925579282,0.793734902,0.854601896,0.915662651,0.693517771,,,,,sgd,smote_enn,0.758112158,7,55
0.798261178,0.819456163,0.969724459,0.66640692,0.78995012,0.972505406,0.608326188,0.978740863,,0.35883014,0.123482527,random_forest,random_over,0.757534352,10,56
0.845147268,0.853799881,0.925875274,0.791319255,0.853325491,0.916280507,0.691446938,,,,,sgd,smote,0.756093114,7,57
0.844481902,0.853227976,0.92585152,0.790072469,0.852589976,0.916383483,0.690185625,,,,,sgd,random_over,0.754513741,7,58
0.796531228,0.817949169,0.96969697,0.663289956,0.787746981,0.972608382,0.605160576,0.979758073,,0.36210729,0.124507751,random_forest,smote_tomek,0.754232373,10,59
0.795289212,0.817021069,0.970999541,0.660095067,0.785916408,0.97394707,0.603005942,0.977354631,,0.441324938,0.128678505,random_forest,smote_enn,0.751992447,10,60
