accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,Model,FeatureSelection,NumFeatures,overall_score,metrics_used,Rank
0.782469837,0.625556652,0.818728049,0.782469837,0.764531023,,0.667753845,0.786336346,0.690564311,knn,extra_trees,20,0.721086794,8,39
0.78317956,0.620129076,0.81630223,0.78317956,0.76618413,,0.669295079,0.784965889,0.693095231,knn,anova,20,0.720070794,8,40
0.785042583,0.611506287,0.812008295,0.785042583,0.763238121,,0.670167288,0.780138749,0.689731172,knn,mutual_information,20,0.712924156,8,41
0.691181689,0.641889569,0.791232143,0.691181689,0.729078777,,0.565863406,0.888692664,0.793777216,naive_bayes,mutual_information,20,0.708017634,8,42
0.733277147,0.656731191,0.772442292,0.733277147,0.740463315,,0.61339981,0.848741112,0.707671308,adaboost,logistic_l1,20,0.70577635,8,43
0.734253016,0.616460515,0.758844904,0.734253016,0.723368287,,0.595066574,0.881031465,0.754845545,logistic_regression,chi2,20,0.699698349,8,44
0.678805891,0.660682401,0.802105136,0.678805891,0.725267883,,0.562451571,0.875116252,0.765114844,naive_bayes,extra_trees,20,0.696800437,8,45
0.77661462,0.60932115,0.792572763,0.77661462,0.743418652,,0.656149004,0.784241545,0.686267864,knn,random_forest,20,0.693864834,8,46
0.779009936,0.593030492,0.79502409,0.779009936,0.756645867,,0.663592416,0.762338469,0.661811054,decision_tree,extra_trees,20,0.680723727,8,47
0.777989709,0.594883157,0.787081001,0.777989709,0.752771814,,0.662356049,0.763381822,0.658245208,decision_tree,anova,20,0.677033464,8,48
0.668647977,0.639139724,0.781396546,0.668647977,0.713543413,,0.545053402,0.865136614,0.753452059,naive_bayes,anova,20,0.664077786,8,49
0.780163236,0.569621251,0.78658512,0.780163236,0.74008052,,0.657022731,0.748795633,0.659797814,decision_tree,mutual_information,20,0.657118821,8,50
0.662925834,0.624663254,0.718417593,0.662925834,0.648875235,,0.505691903,0.902882835,0.815615688,adaboost,anova,20,0.642018391,8,51
0.65662704,0.609195026,0.77420904,0.65662704,0.703351894,,0.530879463,0.86145282,0.747204945,naive_bayes,chi2,20,0.633471084,8,52
0.738688786,0.494464451,0.78184194,0.738688786,0.690624945,,0.58365364,0.818806103,0.775799407,extra_trees,chi2,20,0.625785854,8,53
0.758383605,0.563262248,0.795237869,0.758383605,0.721445751,,0.627127257,0.743620423,0.640406869,decision_tree,variance,122,0.623684287,8,54
0.731458481,0.486443253,0.779740306,0.731458481,0.685310859,,0.570947377,0.828713996,0.792159117,random_forest,chi2,20,0.621883199,8,55
0.759315117,0.555656065,0.761846461,0.759315117,0.719562365,,0.627588673,0.739874861,0.638008194,decision_tree,random_forest,20,0.612928712,8,56
0.629613201,0.605840529,0.754372387,0.629613201,0.58847518,,0.42682622,0.893074103,0.783859039,adaboost,mutual_information,20,0.569659082,8,57
0.635690206,0.584856454,0.658705085,0.635690206,0.618355229,,0.441121697,0.872628602,0.737400881,adaboost,extra_trees,20,0.541423348,8,58
0.722897445,0.494877136,0.733934756,0.722897445,0.6868926,,0.565773836,0.730006058,0.630636896,knn,chi2,20,0.532892325,8,59
0.671220724,0.484169729,0.711208284,0.671220724,0.640506325,,0.491389678,0.863280054,0.704698087,adaboost,chi2,20,0.525597457,8,60
0.711852378,0.470498575,0.7634178,0.711852378,0.667847278,,0.540227831,0.698168767,0.594979452,decision_tree,chi2,20,0.487937992,8,61
0.47684528,0.423369685,0.623411455,0.47684528,0.484193556,,0.225416842,0.714759475,0.544120152,naive_bayes,variance,122,0.182293774,8,62
0.35610362,0.523216291,0.364603672,0.35610362,0.298578364,,0.20310606,0.836585395,0.703545827,naive_bayes,logistic_l1,20,0.136119605,8,63
