accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,log_loss,brier_score,Model,FeatureSelection,NumFeatures,overall_score,metrics_used,Rank
0.81307665,0.831980976,0.966850829,0.69547261,0.809010152,0.968489342,0.63529826,0.95704138,,0.522766763,0.168787143,adaboost,random_forest,20,0.754542152,10,34
0.803317956,0.823947941,0.970532213,0.674978571,0.796212887,0.97291731,0.617660521,0.978422526,,0.361832391,0.123231821,random_forest,variance,122,0.75284417,10,35
0.803983322,0.824519845,0.970476403,0.676225357,0.79706085,0.972814334,0.618876586,0.972320911,,0.39223216,0.128488581,extra_trees,variance,122,0.751034619,10,36
0.834368346,0.844757985,0.926902505,0.769734279,0.84103874,0.919781691,0.671220857,0.953738809,,0.520235334,0.166950543,adaboost,extra_trees,20,0.749554419,10,37
0.827315472,0.845477344,0.97583564,0.714330242,0.824852657,0.976624447,0.662419797,0.867840426,,5.274342695,0.161628815,knn,random_forest,20,0.742564499,10,38
0.838449255,0.847979241,0.925233645,0.779163095,0.845939086,0.916795387,0.678733859,,,,,sgd,extra_trees,20,0.738695868,7,39
0.834634493,0.850177501,0.962887646,0.737941245,0.835539086,0.962413758,0.675006611,0.850177501,,5.960377033,0.165365507,decision_tree,extra_trees,20,0.732806357,10,40
0.843993967,0.852924653,0.926556777,0.788436063,0.851934492,0.917413243,0.689331445,0.883329529,,3.050276511,0.152074254,naive_bayes,logistic_l1,20,0.732685001,10,41
0.82908978,0.840008767,0.925350512,0.761162628,0.835264441,0.918854907,0.661160192,,,,,sgd,variance,122,0.718021469,7,42
0.827226757,0.838234576,0.924164768,0.75874698,0.833326201,0.917722171,0.657550047,0.91219967,,0.82369729,0.150320488,logistic_regression,variance,122,0.716612505,10,43
0.822746629,0.834236779,0.923025371,0.751266267,0.828335768,0.917207291,0.649058924,0.921399376,,0.759769023,0.149333336,logistic_regression,extra_trees,20,0.710804263,10,44
0.793115685,0.814310267,0.963989549,0.661263929,0.784433352,0.967356606,0.598412898,0.937116088,,1.702954723,0.160098439,extra_trees,chi2,20,0.701543047,10,45
0.824299148,0.839258029,0.948261924,0.731239772,0.825729245,0.947276285,0.654440044,0.857584825,,5.491314601,0.165990064,knn,mutual_information,20,0.700866034,10,46
0.806777857,0.820611271,0.92296178,0.720720019,0.809398792,0.920502523,0.619405244,0.952099454,,0.525096589,0.168972679,adaboost,variance,122,0.691554565,10,47
0.78105039,0.803787745,0.963493368,0.639601029,0.768827276,0.967974462,0.576427122,0.953503693,,0.521165922,0.165238936,gradient_boosting,chi2,20,0.686859921,10,48
0.773820085,0.797537139,0.963669065,0.626276007,0.75917442,0.96879827,0.563368408,0.951953849,,1.185091519,0.163497558,random_forest,chi2,20,0.670276306,10,49
0.805580199,0.825935005,0.970699643,0.6789527,0.799027924,0.97291731,0.621827889,0.825935005,,7.007599929,0.194419801,decision_tree,mutual_information,20,0.669337899,10,50
0.814363023,0.828050391,0.929479539,0.729213746,0.817256888,0.926887035,0.634137886,0.847973644,,5.760068175,0.173757984,knn,extra_trees,20,0.65526032,10,51
0.799281405,0.819588207,0.963409192,0.672952544,0.792402624,0.96622387,0.609631879,0.826007132,,6.929512232,0.197052001,decision_tree,chi2,20,0.649055545,10,52
0.786373314,0.803803537,0.927208782,0.677939687,0.783219301,0.929667387,0.582437316,0.92561121,,4.962582343,0.209858176,naive_bayes,random_forest,20,0.629250803,10,53
0.80207594,0.812986553,0.899646711,0.734200888,0.808547155,0.891772217,0.607999871,0.919629947,,4.662786917,0.192512381,naive_bayes,extra_trees,20,0.628584807,10,54
0.794845635,0.811257815,0.928750522,0.692745266,0.793572863,0.929770364,0.598085551,0.851120964,,5.613439149,0.187120298,knn,variance,122,0.617305351,10,55
0.794135912,0.806450754,0.900625978,0.717525131,0.798716225,0.895376377,0.59350562,0.926695286,,4.595585005,0.202703755,naive_bayes,anova,20,0.616689315,10,56
0.775372605,0.794516727,0.928044077,0.656276786,0.768851561,0.932756668,0.562552677,0.924299788,,5.32215422,0.220887131,naive_bayes,mutual_information,20,0.606097764,10,57
0.771380412,0.789494502,0.916115747,0.658692434,0.766364461,0.920296571,0.553967095,0.928087858,,0.541170275,0.176985078,adaboost,chi2,20,0.604910942,10,58
0.792849539,0.808652758,0.922384353,0.69453752,0.792407539,0.922767995,0.593730114,0.831394222,,6.315570297,0.19566714,knn,chi2,20,0.595493349,10,59
0.777279986,0.792496939,0.902348578,0.682615133,0.777250344,0.902378746,0.562957687,,,,,sgd,chi2,20,0.571113309,7,60
0.760335344,0.778828453,0.906811213,0.645289488,0.754017756,0.912367418,0.532950112,0.915211275,,0.620713592,0.170631419,logistic_regression,chi2,20,0.568257424,10,61
0.754746274,0.774608162,0.910521583,0.631185226,0.745547425,0.918031099,0.523404788,0.908483507,,5.556009807,0.239331212,naive_bayes,chi2,20,0.537727925,10,62
0.564895316,0.616956951,0.978178368,0.241019247,0.386745858,0.992894656,0.208639616,0.814757663,,15.64795672,0.43501848,naive_bayes,variance,122,0.111538427,10,63
