accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,Model,BalancedMethod,overall_score,metrics_used,Rank
0.789522711,0.651385013,0.819574401,0.789522711,0.763989,,0.679021829,,,sgd,tomek,0.888807408,6,41
0.774396735,0.628529073,0.82925199,0.774396735,0.738951168,,0.645310741,0.954886989,0.930723002,random_forest,adasyn,0.887570965,8,42
0.827492903,0.664057688,0.840072877,0.827492903,0.814403893,,0.74086597,0.806513385,0.733219806,decision_tree,svm_smote,0.882529293,8,43
0.781893187,0.627876442,0.820737755,0.781893187,0.735219721,,0.65771741,0.956253393,0.894119205,gradient_boosting,enn,0.881633898,8,44
0.772666785,0.623201293,0.825546214,0.772666785,0.727254997,,0.641461071,0.95747118,0.918518773,extra_trees,tomek,0.879388075,8,45
0.770271469,0.609877312,0.823849418,0.770271469,0.734444313,,0.637326734,0.957457749,0.925695294,random_forest,smote,0.877918972,8,46
0.772134493,0.618966907,0.825750623,0.772134493,0.726853925,,0.640255515,0.95644887,0.918660328,extra_trees,class_weight,0.877738047,8,47
0.784465933,0.626560237,0.816285377,0.784465933,0.755860138,,0.670385635,,,sgd,class_weight,0.874141086,6,48
0.771069908,0.620430272,0.813477763,0.771069908,0.718141814,,0.637792647,0.958617935,0.917568687,extra_trees,enn,0.874111357,8,49
0.765170334,0.606026772,0.818294194,0.765170334,0.726089305,,0.630032431,0.961135519,0.927973186,random_forest,smote_enn,0.87274395,8,50
0.767787438,0.611206839,0.820994874,0.767787438,0.720764684,,0.632647684,0.95556268,0.914220282,extra_trees,random_over,0.870284275,8,51
0.765303407,0.600803108,0.81652639,0.765303407,0.72283948,,0.629298684,0.957905402,0.928082547,random_forest,smote_tomek,0.869808248,8,52
0.764105749,0.589219107,0.822889394,0.764105749,0.72270474,,0.626412722,0.962164042,0.933147102,random_forest,borderline_smote,0.868202691,8,53
0.774263662,0.596272096,0.81851824,0.774263662,0.737388753,,0.646461227,0.916601539,0.905262219,gradient_boosting,class_weight,0.866734243,8,54
0.759669979,0.579335774,0.802681384,0.759669979,0.70729532,,0.61670791,0.965966074,0.933908558,random_forest,enn,0.85772814,8,55
0.788236338,0.69002558,0.820957881,0.788236338,0.759051376,,0.674073044,0.828754746,0.716341665,knn,borderline_smote,0.852691146,8,56
0.78992193,0.692945629,0.777669221,0.78992193,0.764319122,,0.680709404,0.8281201,0.709536879,knn,adasyn,0.850732501,8,57
